Matrix,Iterations,Method,BestDistance,AverageDistance,BestTour
Matrix 5,1000,SA,25.0,25.00,[4, 2, 1, 0, 3]
Matrix 5,1000,Hybrid,25.0,25.10,[4, 2, 1, 0, 3]
Matrix 6,100,HC,15.0,15.00,[2, 0, 4, 3, 1]
Matrix 6,100,SA,15.0,15.00,[1, 3, 4, 0, 2]
Matrix 6,100,Hybrid,15.0,15.00,[1, 2, 0, 4, 3]
Matrix 6,200,HC,15.0,15.00,[3, 1, 2, 0, 4]
Matrix 6,200,SA,15.0,15.00,[1, 3, 4, 0, 2]
Matrix 6,200,Hybrid,15.0,15.00,[0, 4, 3, 1, 2]
Matrix 6,300,HC,15.0,15.00,[3, 1, 2, 0, 4]
Matrix 6,300,SA,15.0,15.00,[4, 0, 2, 1, 3]
Matrix 6,300,Hybrid,15.0,15.00,[0, 4, 3, 1, 2]
Matrix 6,400,HC,15.0,15.00,[1, 2, 0, 4, 3]
Matrix 6,400,SA,15.0,15.00,[2, 1, 3, 4, 0]
Matrix 6,400,Hybrid,15.0,15.00,[2, 1, 3, 4, 0]
Matrix 6,500,HC,15.0,15.00,[1, 3, 4, 0, 2]
Matrix 6,500,SA,15.0,15.00,[4, 0, 2, 1, 3]
Matrix 6,500,Hybrid,15.0,15.00,[2, 1, 3, 4, 0]
Matrix 6,600,HC,15.0,15.00,[0, 2, 1, 3, 4]
Matrix 6,600,SA,15.0,15.00,[0, 4, 3, 1, 2]
Matrix 6,600,Hybrid,15.0,15.00,[2, 0, 4, 3, 1]
Matrix 6,700,HC,15.0,15.00,[2, 0, 4, 3, 1]
Matrix 6,700,SA,15.0,15.00,[3, 1, 2, 0, 4]
Matrix 6,700,Hybrid,15.0,15.00,[3, 4, 0, 2, 1]
Matrix 6,800,HC,15.0,15.00,[1, 2, 0, 4, 3]
Matrix 6,800,SA,15.0,15.00,[3, 1, 2, 0, 4]
Matrix 6,800,Hybrid,15.0,15.00,[0, 2, 1, 3, 4]
Matrix 6,900,HC,15.0,15.00,[2, 1, 3, 4, 0]
Matrix 6,900,SA,15.0,15.00,[0, 4, 3, 1, 2]
Matrix 6,900,Hybrid,15.0,15.00,[1, 2, 0, 4, 3]
Matrix 6,1000,HC,15.0,15.00,[4, 0, 2, 1, 3]
Matrix 6,1000,SA,15.0,15.00,[3, 4, 0, 2, 1]
Matrix 6,1000,Hybrid,15.0,15.00,[3, 4, 0, 2, 1]
Matrix 7,100,HC,15.0,15.00,[2, 0, 1, 3, 4]
Matrix 7,100,SA,15.0,15.80,[3, 1, 0, 2, 4]
Matrix 7,100,Hybrid,15.0,15.00,[4, 3, 0, 1, 2]
Matrix 7,200,HC,15.0,15.00,[3, 0, 1, 2, 4]
Matrix 7,200,SA,15.0,15.00,[3, 4, 2, 0, 1]
Matrix 7,200,Hybrid,15.0,15.00,[1, 0, 3, 4, 2]
Matrix 7,300,HC,15.0,15.00,[4, 3, 1, 0, 2]
Matrix 7,300,SA,15.0,15.00,[4, 2, 1, 0, 3]
Matrix 7,300,Hybrid,15.0,15.00,[1, 2, 4, 3, 0]
Matrix 7,400,HC,15.0,15.00,[1, 3, 4, 2, 0]
Matrix 7,400,SA,15.0,15.00,[3, 0, 1, 2, 4]
Matrix 7,400,Hybrid,15.0,15.00,[4, 3, 1, 0, 2]
Matrix 7,500,HC,15.0,15.00,[3, 4, 2, 1, 0]
Matrix 7,500,SA,15.0,15.00,[2, 1, 0, 3, 4]
Matrix 7,500,Hybrid,15.0,15.00,[4, 3, 0, 1, 2]
Matrix 7,600,HC,15.0,15.00,[3, 0, 1, 2, 4]
Matrix 7,600,SA,15.0,15.00,[4, 3, 1, 0, 2]
Matrix 7,600,Hybrid,15.0,15.00,[0, 1, 3, 4, 2]
Matrix 7,700,HC,15.0,15.00,[0, 2, 4, 3, 1]
Matrix 7,700,SA,15.0,15.00,[1, 0, 2, 4, 3]
Matrix 7,700,Hybrid,15.0,15.00,[1, 3, 4, 2, 0]
Matrix 7,800,HC,15.0,15.00,[3, 0, 1, 2, 4]
Matrix 7,800,SA,15.0,15.00,[2, 1, 0, 3, 4]
Matrix 7,800,Hybrid,15.0,15.00,[4, 3, 0, 1, 2]
Matrix 7,900,HC,15.0,15.00,[1, 2, 4, 3, 0]
Matrix 7,900,SA,15.0,15.00,[3, 0, 1, 2, 4]
